epoch,train_loss,val_loss,val_AUROC,aspect,dataset,variant,seed,done
6,0.4832121481498082,0.5106480121612549,0.6248553647934453,A1,rel-trial,GAT-MPNN-D,43,False
7,0.4809759656588236,0.492728441953659,0.6320256970411771,A1,rel-trial,GAT-MPNN-D,43,False
8,0.4777965868512789,0.5086449682712555,0.6207899427713669,A1,rel-trial,GAT-MPNN-D,43,False
9,0.4767695218324661,0.4917412996292114,0.6397902063536738,A1,rel-trial,GAT-MPNN-D,43,False
10,0.4743628439803918,0.492914468050003,0.6436501235262845,A1,rel-trial,GAT-MPNN-D,43,True
1,0.4974156382183234,0.5020304024219513,0.5945433994969599,A1,rel-trial,GAT-MPNN-D,44,False
2,0.4944178313016891,0.5006423145532608,0.6080129021305491,A1,rel-trial,GAT-MPNN-D,44,False
3,0.4904493689537048,0.507298469543457,0.6136620517425472,A1,rel-trial,GAT-MPNN-D,44,False
4,0.4884185120463371,0.5049836933612823,0.6230147561416911,A1,rel-trial,GAT-MPNN-D,44,False
5,0.4862533385554949,0.5041835904121399,0.6215538847117794,A1,rel-trial,GAT-MPNN-D,44,False
6,0.482921061416467,0.5140734910964966,0.6234302333373541,A1,rel-trial,GAT-MPNN-D,44,False
7,0.4806306287646293,0.4918391406536102,0.6399823087129588,A1,rel-trial,GAT-MPNN-D,44,False
8,0.4785206305483977,0.4999064803123474,0.6471705109476008,A1,rel-trial,GAT-MPNN-D,44,False
9,0.4763327774902184,0.4950567632913589,0.6385125022895921,A1,rel-trial,GAT-MPNN-D,44,False
10,0.4762825146317482,0.4910631328821182,0.6480014653389267,A1,rel-trial,GAT-MPNN-D,44,True
1,0.490648311873277,0.4864222109317779,0.6488994321811659,A1,rel-trial,GAT-MPNN-U,42,False
2,0.4783523380756378,0.5075052082538605,0.6444230004601521,A1,rel-trial,GAT-MPNN-U,42,False
3,0.4698519309361775,0.4867349565029144,0.6498644114743186,A1,rel-trial,GAT-MPNN-U,42,False
4,0.4622935578227043,0.4877881705760956,0.6491451445011817,A1,rel-trial,GAT-MPNN-U,42,False
5,0.4580604794124762,0.4913792461156845,0.6537734711109324,A1,rel-trial,GAT-MPNN-U,42,False
6,0.4515360966324806,0.4957624077796936,0.649748256559402,A1,rel-trial,GAT-MPNN-U,42,False
7,0.4454440958797931,0.5022991895675659,0.6542157532869607,A1,rel-trial,GAT-MPNN-U,42,False
8,0.4416089629133542,0.53257817029953,0.6496142316575754,A1,rel-trial,GAT-MPNN-U,42,False
9,0.4376504955192407,0.4978608042001724,0.6583169152828596,A1,rel-trial,GAT-MPNN-U,42,False
10,0.4285950064659118,0.5478659868240356,0.6523930146221169,A1,rel-trial,GAT-MPNN-U,42,True
1,0.4948675806323687,0.4971957355737686,0.62673171341902,A1,rel-trial,GAT-MPNN-U,43,False
2,0.4801863878965378,0.4936230778694153,0.6489351721549865,A1,rel-trial,GAT-MPNN-U,43,False
3,0.4695272408425808,0.4975576996803283,0.6507981182903784,A1,rel-trial,GAT-MPNN-U,43,False
4,0.4615986744562785,0.5020142495632172,0.6447625302114467,A1,rel-trial,GAT-MPNN-U,43,False
5,0.4578259140253067,0.4909940510988235,0.6492657669128258,A1,rel-trial,GAT-MPNN-U,43,False
